storeID,StoreName,StoreLocation,StoreNumber,MonthlyRevenue,Date
2,SuperMart,234 Peach St,555-2222,65000,2018-02-14
3,SuperMart,345 Lemon St,555-3333,80000,2018-03-14
4,SuperMart,456 Orange St,555-4444,85000,2018-04-14
5,SuperMart,567 Grape St,555-5555,90000,2018-05-14
6,SuperMart,678 Banana St,555-6666,92345,2018-06-14
7,SuperMart,789 Watermelon St,555-7777,95678,2018-07-14
9,SuperMart,901 Mango St,555-9999,120000,2018-09-14
10,SuperMart,101 Kiwi St,555-1010,130000,2018-10-14
11,SuperMart,112 Kiwi St,555-1111,135000,2018-11-14
13,SuperMart,234 Peach St,555-3333,150000,2019-01-14
14,SuperMart,345 Lemon St,555-4444,110000,2019-02-14
15,SuperMart,456 Orange St,555-5555,106789,2019-03-14
16,SuperMart,567 Grape St,555-6666,102456,2019-04-14
17,SuperMart,678 Banana St,555-7777,103455,2019-05-14
18,SuperMart,789 Watermelon St,555-8888,100452,2019-06-14
19,SuperMart,890 Apple St,555-9999,100000,2019-07-14
20,SuperMart,901 Mango St,555-1010,109384,2019-08-14
21,SuperMart,101 Kiwi St,555-1111,98000,2019-09-14
22,SuperMart,112 Kiwi St,555-2222,145000,2019-10-14
24,SuperMart,234 Peach St,555-4444,156000,2019-12-14
25,SuperMart,345 Lemon St,555-5555,156750,2020-01-14
26,SuperMart,456 Orange St,555-6666,155055,2020-02-14
27,SuperMart,567 Grape St,555-7777,160000,2020-03-14
28,SuperMart,678 Banana St,555-8888,157089,2020-04-14
29,SuperMart,789 Watermelon St,555-9999,156000,2020-05-14
30,SuperMart,890 Apple St,555-1010,167000,2020-06-14
31,SuperMart,901 Mango St,555-1111,168000,2020-07-14
32,SuperMart,101 Kiwi St,555-2222,169000,2020-08-14
33,SuperMart,112 Kiwi St,555-3333,169420,2020-09-14
35,SuperMart,234 Peach St,555-5555,154000,2020-11-14
36,SuperMart,345 Lemon St,555-6666,155000,2020-12-14
37,SuperMart,456 Orange St,555-7777,156700,2021-01-14
38,SuperMart,567 Grape St,555-8888,153000,2021-02-14
39,SuperMart,678 Banana St,555-9999,180000,2021-03-14
40,SuperMart,789 Watermelon St,555-1010,190000,2021-04-14
41,SuperMart,890 Apple St,555-1111,220000,2021-05-14
42,SuperMart,901 Mango St,555-2222,234780,2021-06-14
43,SuperMart,101 Kiwi St,555-3333,256000,2021-07-14
44,SuperMart,112 Kiwi St,555-4444,264000,2021-08-14
44,SuperMart,112 Wellington St,555-4444,264000,2021-09-14
46,SuperMart,234 Peach St,555-6666,280000,2021-10-14
47,SuperMart,345 Lemon St,555-7777,290000,2021-11-14
48,SuperMart,456 Orange St,555-8888,294000,2021-12-14
49,SuperMart,567 Grape St,555-9999,295000,2022-01-14
50,SuperMart,678 Banana St,555-1010,280000,2022-02-14
